miRNA,mRNA
hsa-miR-421,PLCL1
hsa-miR-421,PLCXD3
hsa-miR-421,PLXNA1
hsa-miR-421,PLXNC1
hsa-miR-421,POLR3H
hsa-miR-421,PP13439
hsa-miR-421,PPP2R2C
hsa-miR-421,PPT1
hsa-miR-421,PRCP
hsa-miR-421,PRKAA2
hsa-miR-421,PRKD1
hsa-miR-421,PRUNE2
hsa-miR-421,PSMA5
hsa-miR-421,PTPRB
hsa-miR-421,RAB6B
hsa-miR-421,RAD54B
hsa-miR-421,RASAL2
hsa-miR-421,RASSF4
hsa-miR-421,RERE
hsa-miR-421,RIC3
hsa-miR-421,RIPK1
hsa-miR-421,ROCK1
hsa-miR-421,RORB
hsa-miR-421,RP11-766F14.2
hsa-miR-421,RPA4
hsa-miR-421,RPRD1B
hsa-miR-421,RPRD2
hsa-miR-421,RPS6KA3
hsa-miR-421,RRP15
hsa-miR-421,SAMD12
hsa-miR-421,SAP30L
hsa-miR-421,SBNO1
hsa-miR-421,SCOC
hsa-miR-421,SEPHS1
hsa-miR-421,SERTAD4
hsa-miR-421,SFMBT1
hsa-miR-421,SGIP1
hsa-miR-421,SH3BP4
hsa-miR-421,SIRPA
hsa-miR-421,SKIDA1
hsa-miR-421,SLC25A12
hsa-miR-421,SLC4A4
hsa-miR-421,SLC8A2
hsa-miR-421,SNAP25
hsa-miR-421,SNAP91
hsa-miR-421,SND1
hsa-miR-421,SNRNP70
hsa-miR-421,SOX6
hsa-miR-421,SP3
hsa-miR-421,SPATA13
hsa-miR-421,SPATS2L
hsa-miR-421,SPCS2
hsa-miR-421,SPIRE1
hsa-miR-421,SPR
hsa-miR-421,SPRY1
hsa-miR-421,SPTY2D1
hsa-miR-421,SREK1
hsa-miR-421,SRSF10
hsa-miR-421,SSR3
hsa-miR-421,STAM2
hsa-miR-421,STRN3
hsa-miR-421,SUB1
hsa-miR-421,SUPT16H
hsa-miR-421,SYT1
hsa-miR-421,SYT14
hsa-miR-421,TAX1BP1
hsa-miR-421,TBC1D13
hsa-miR-421,TBC1D30
hsa-miR-421,TEX261
hsa-miR-421,THAP2
hsa-miR-421,THRB
hsa-miR-421,TIMM8A
hsa-miR-421,TLR4
hsa-miR-421,TMEM106B
hsa-miR-421,TMEM159
hsa-miR-421,TMEM65
hsa-miR-421,TNKS2
hsa-miR-421,TOMM34
hsa-miR-421,TOMM70A
hsa-miR-421,TOPBP1
hsa-miR-421,TRAF6
hsa-miR-421,TRAM2
hsa-miR-421,TRPM7
hsa-miR-421,TSC22D2
hsa-miR-421,TSN
hsa-miR-421,TTBK2
hsa-miR-421,TTC9
hsa-miR-421,TUBB
hsa-miR-421,UBE2B
hsa-miR-421,UBN2
hsa-miR-421,USP47
hsa-miR-421,USP49
hsa-miR-421,VAMP7
hsa-miR-421,VAT1L
hsa-miR-421,VEZF1
hsa-miR-421,WAC
hsa-miR-421,WASF2
hsa-miR-421,WDR7
hsa-miR-421,XRN1
hsa-miR-421,YTHDF2
hsa-miR-421,ZBTB10
hsa-miR-421,ZBTB11
hsa-miR-421,ZC3H7A
hsa-miR-421,ZCCHC14
hsa-miR-421,ZNF106
hsa-miR-421,ZNF398
hsa-miR-421,ZNF404
hsa-miR-421,ZNF470
hsa-miR-421,ZNF654
hsa-miR-421,ZNF706
hsa-miR-421,CCDC28A
hsa-miR-421,SMS
hsa-miR-421,CLEC11A
hsa-miR-421,ETHE1
hsa-miR-421,EDF1
hsa-miR-421,IFT20
hsa-miR-421,MRPL51
hsa-miR-421,GADD45A
hsa-miR-421,PDZD11
hsa-miR-421,PRDX4
hsa-miR-421,ECHS1
hsa-miR-421,PCNA
hsa-miR-421,TACO1
hsa-miR-421,WDFY2
hsa-miR-421,NARF
hsa-miR-421,GDF7
hsa-miR-421,IRAK1BP1
hsa-miR-421,AURKAIP1
hsa-miR-421,C10orf85
hsa-miR-421,CTXN1
hsa-miR-421,C15orf61
hsa-miR-421,FAM163B
hsa-miR-421,TAS2R50
